phase,work_type,unit,productivity_rate,notes
Site Preparation,Helper (beldar),sqft_per_day,500,"Clearing, shifting, basic site work."
Excavation & Foundation,Mistri (mason),sqft_per_day,120,Layout + foundation supervision.
Excavation & Foundation,Helper (beldar),cft_per_day,180,Soil shifting/backfill handling.
Grey Structure,Shuttering carpenter,sqft_per_day,90,Slab/beam shuttering.
Grey Structure,Steel fixer,kg_per_day,450,"Rebar cutting, bending, tying."
Masonry & Walls,Mistri (mason),sqft_per_day,140,Brickwork (varies by wall thickness).
Plastering & Screeding,Mistri (mason),sqft_per_day,220,Internal plaster + basic screed.
Flooring & Tiling,Tiler,sqft_per_day,120,Standard tile sizes; complex patterns reduce.
Electrical (Rough + Final),Electrician,point_per_day,30,Point includes conduit + wire + termination.
Plumbing (Rough + Final),Plumber,fixture_per_day,10,Fixture = tap/flush/basin connection; rough-in differs.
Paint & Finishing,Painter,sqft_per_day,500,Putty + primer + 2 coats (avg).
Roofing & Waterproofing,Mistri (mason),sqft_per_day,180,Membrane + screed protection varies.
Carpentry & Woodwork,Shuttering carpenter,sqft_per_day,60,Doors + frames + basic hardware.
Aluminum & Glass Work,Mistri (mason),sqft_per_day,80,Install frames + glazing; specialist rates may apply.
Kitchen & Wardrobes,Shuttering carpenter,sqft_per_day,45,Modular cabinets vary widely by design.
Sanitary & Bathroom Fittings,Plumber,fixture_per_day,12,Final fix installs.
External Works,Helper (beldar),sqft_per_day,220,Pavers and basic external works.
